珍珠母,磁石,赭石,酒曲,酒曲,牛膝
枣仁,小麦,甘草
朱砂,珍珠,天竺黄,琥珀,防风,天麻
辰砂,郁金,黄芩,丹参,山栀仁,黄连
琥珀,天麻,乌蛇,龙脑,丹参,僵蚕
枣仁,远志,贝母,黄芩,瓜蒌,陈皮
茯神,柏子仁,干姜,炙草,益智,陈皮
茯神,金箔,枣仁,远志,辰砂,独活
茯神,枣仁,辰砂,琥珀,人参,乳香
茯神,枣仁,远志,琥珀,朱砂,菖蒲
枣仁,辰砂,人参
菖蒲,安神膏,五味子,丹参
珍珠母,合欢皮,夜交藤,菖蒲,五味子,女贞子
远志,石莲肉,芡实,麦冬,莲须,人参
茯神,枣仁,远志,琥珀,白芍,莲子
茯神,远志,朱砂,麦门冬,天麻,白附子
茯神,枣仁,远志,菖蒲,于术,黄耆
茯神,枣仁,远志,牡蛎,芡实,莲须
茯神,远志,菖蒲,麦冬,陈皮,杏仁
菖蒲,龙齿
朱砂,当归,地黄,黄连,甘草
枣仁,珍珠,天竺黄,琥珀,丹参,天南星
合欢皮,夜交藤,合欢花,桑椹子,女贞子,丹参
金箔,朱砂,琥珀,防风,天麻,地黄
茯神,菖蒲,全蝎,当归,龙胆草,黄连
茯神,枣仁,朱砂,生地,白参,寸冬
茯神,枣仁,珍珠母,琥珀,夜交藤,朱砂
朱砂,麦冬,知母,天冬,黄连
茯神,远志,铁粉,辰砂,山芋,菖蒲
茯神,远志,铁粉,辰砂,山芋,菖蒲
茯神,枣仁,朱砂,代赭石,麝香,乳香
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,菖蒲,黑附子,牛膝,人参,桔梗
枣仁,桂枝,牡蛎,黄芩,大黄,龙骨
大龟
茯神,远志,枸杞,熟地,白芍,核桃仁
枣仁,夜交藤,淮小麦,莲肉,百合,甘草
朱砂,天麻,当归,大黄,僵蚕,黄土
朱砂,天竺黄,苍术,钩藤,天南星,丹参
粳米,白糖,鲜百合,杏仁
大米,芡实,糯米,莲肉,山药
枣仁,朱砂,麦门冬,人参,生龙脑,茯苓
枣仁,远志,柏子仁,五味子,黄耆,当归
枣仁,远志,朱砂,柏子仁,五味子,党参
茯神,菖蒲,柏子仁,枸杞,熟地,麦门冬
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,柏子仁,牡蛎,五味子,麻黄根,浮小麦
鹿角霜,柏子仁,菟丝子,鹿角胶,地黄
铅,水银
朱砂,白矾,黄丹,半夏
茯神,远志,菖蒲,麦门冬,丹参,人参
枣仁,大米,薏仁,芡实,山药,扁豆
檀香,枣仁,天竺黄,紫檀香,北沙参,红花
檀香,枣仁,天竺黄,紫檀香,北沙参,红花
枣仁,石灰华,乳香,木棉花,诃子,沉香
枣仁,石灰华,乳香,木棉花,诃子,沉香
朱砂,磁石,人中黄,代赭石,乳香,禹余粮
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,远志,天竺黄,辰砂,琥珀,珍珠
远志,珍珠,天竺黄,琥珀,防风,钩藤
枣仁,覆盆子,巴戟,枸杞,柏子仁,肉苁蓉
辰砂,琥珀,天麻,防风,天南星,全蝎
茯神,琥珀,朱砂,天麻,防风,僵蚕
珍珠,琥珀,丹参,龙涎香,马宝
檀香,赤小豆,熊胆,鹤虱,黄芩,大黄
远志,覆盆子,巴戟,菖蒲,细辛,枸杞
茯神,丹皮,细木通,益元散,原麦冬,辰砂染灯心20支
茯神,熟地,郁金,黑附子,龙齿,肉桂
茯神,枣仁,远志,熟地,酒炒白芍,当归
茯神,远志,菖蒲,朱砂,麦冬,人参
蝎梢,丁香,半夏
茯神,枣仁,远志,柏子仁,五味子,地黄
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,全蝎,金银箔,僵蚕
金箔,枣仁,辰砂,银箔,麦门冬,大赭石
陈曲,枸杞,肉苁蓉,桂,地黄,甘菊
朱砂,天竺黄,天麻,丹参,麝香,人参
茯神,远志,天竺黄,琥珀,菖蒲,铅霜
菖蒲,麦门冬,贝母,五味子,天门冬,当归
米酒,丹参
辰砂,菖蒲,青龙齿,琥珀末,丹参,紫贝齿
枣仁,生地,麦冬,玄参,木通,茯苓
远志,覆盆子,菖蒲,柏子仁,枸杞,熟地
珍珠,石灰华,麝香等药味加工制成的丸剂,丹参,红花,草果
茯神,远志,菖蒲,麦门冬,天门冬,丹参
寒水石,桂枝,牡蛎,干姜,大黄,白石脂
茯神,枣仁,远志,独活,细辛,防风
米粉,茯苓细粉,白糖等份
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,天南星,真铁粉
茯神,远志,辰砂,菖蒲,天南星,真铁粉
茯神,枣仁,远志,独活,细辛,防风
茯神,麦门冬,龙齿,枳实,防风,白鲜
茯神,枣仁,远志,独活,细辛,防风
茯神,菖蒲,丹皮,麦门冬,石斛,芍药
寄生,风仙花全草,五味子,益母草,泽兰
枣仁,小麦,甘草
枣仁,小麦,甘草
枣仁,小麦,甘草
桂枝,牡蛎,龙骨,甘草
枣仁,牡蛎,芍药,龙骨,桂心,生姜
朱砂,21克
珍珠母,丹皮,钩藤,五味子,磁石,仙茅酒
远志,枣仁,枣仁,龙眼肉,党参,当归
獖猪心,颗块朱砂,灯心
茯神,金箔,枣仁,远志,龙齿,罗参
茯神,远志,五味子,山萸,莲须,山药
