珍珠母,磁石,酒曲,赭石,半夏,酒曲,牛膝
枣仁,小麦,甘草
朱砂,天竺黄,琥珀,珍珠,防风,钩藤,天麻
辰砂,郁金,黄芩,丹参,山栀仁,黄连
琥珀,天麻,龙脑,丹参,乌蛇,干蝎,白附子
枣仁,远志,贝母,黄芩,陈皮,瓜蒌,半夏
茯神,柏子仁,人参,干姜,炙草,益智,陈皮
茯神,枣仁,金箔,远志,辰砂,独活,珍珠
茯神,枣仁,辰砂,琥珀,人参,乳香
茯神,枣仁,远志,朱砂,琥珀,菖蒲,柏子仁
枣仁,辰砂,人参
菖蒲,安神膏,五味子,丹参
珍珠母,合欢皮,菖蒲,菟丝子,女贞子,丹参,地黄
远志,石莲肉,芡实,麦冬,人参,莲须,甘草
茯神,枣仁,远志,琥珀,白芍,黄耆,生地
茯神,远志,朱砂,麦门冬,人参,天麻,莲肉
茯神,枣仁,远志,菖蒲,黄耆,炙草,酒地
茯神,枣仁,远志,牡蛎,芡实,生地,莲子肉
茯神,远志,菖蒲,麦冬,陈皮,杏仁,半夏
菖蒲,龙齿
朱砂,地黄,当归,黄连,甘草
枣仁,天竺黄,珍珠,琥珀,人参,丹参,地黄
合欢花,合欢皮,桑椹子,女贞子,夜交藤,丹参,地黄
朱砂,金箔,琥珀,防风,天麻,地黄,山药
茯神,菖蒲,全蝎,当归,龙胆草,黄连
茯神,枣仁,朱砂,生地,寸冬,白参,当归
茯神,珍珠母,枣仁,朱砂,合欢花,琥珀,龙齿
朱砂,麦冬,天冬,知母,黄连
茯神,远志,铁粉,辰砂,菖蒲,细辛,麦门冬
茯神,远志,铁粉,辰砂,菖蒲,细辛,麦门冬
茯神,枣仁,朱砂,乳香,麝香,代赭石
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,菖蒲,黑附子,人参,桂心,牛膝,桔梗
枣仁,牡蛎,桂枝,黄芩,大黄,人参,龙骨
大龟
茯神,远志,白芍,枸杞,黄耆,熟地,人参
枣仁,莲肉,百合,夜交藤,淮小麦,甘草
朱砂,大黄,天麻,僵蚕,当归,全蝎,黄土
朱砂,天竺黄,苍术,钩藤,丹参,麦芽,滑石
白糖,粳米,鲜百合,杏仁
大米,芡实,糯米,山药,莲肉
枣仁,朱砂,麦门冬,人参,生龙脑,茯苓,甘草
枣仁,远志,柏子仁,黄耆,人参,五味子,当归
枣仁,朱砂,远志,柏子仁,五味子,当归,川芎
茯神,菖蒲,柏子仁,麦门冬,枸杞,熟地,元参
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,柏子仁,牡蛎,五味子,浮小麦,麻黄根,党参
鹿角霜,柏子仁,菟丝子,鹿角胶,地黄
铅,水银
朱砂,白矾,黄丹,半夏
茯神,远志,菖蒲,麦门冬,丹参,人参,白术
枣仁,大米,薏仁,芡实,山药,莲肉,百合
檀香,枣仁,天竺黄,紫檀香,北沙参,红花,沉香
檀香,枣仁,天竺黄,紫檀香,北沙参,红花,沉香
枣仁,石灰华,乳香,木棉花,沉香,诃子,木香
枣仁,石灰华,乳香,木棉花,沉香,诃子,木香
朱砂,磁石,乳香,代赭石,禹余粮,人中黄,没药
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,远志,天竺黄,辰砂,琥珀,珍珠,防风
远志,天竺黄,珍珠,琥珀,防风,贝母,犀角
枣仁,巴戟,覆盆子,柏子仁,菟丝子,肉苁蓉,枸杞
辰砂,琥珀,防风,天麻,白附子,僵蚕,天南星
茯神,朱砂,琥珀,犀角,防风,人参,天麻
琥珀,珍珠,马宝,丹参,龙涎香
檀香,赤小豆,熊胆,黄芩,鹤虱,大黄,乳香
远志,巴戟,覆盆子,菖蒲,细辛,肉苁蓉,菟丝子
茯神,丹皮,生地,莹白童便150毫升,莲子心30支,细木通,辰砂染灯心20支
茯神,郁金,龙齿,黑附子,熟地,人参,泽兰
茯神,枣仁,远志,熟地,酒炒白芍,当归,川芎
茯神,远志,朱砂,菖蒲,麦冬,人参,白术
蝎梢,半夏,丁香
茯神,枣仁,远志,柏子仁,黄耆,人参,地黄
茯神,枣仁,粟米
枣仁,辰砂,麦门冬,人参,僵蚕,全蝎,金银箔
枣仁,金箔,辰砂,麦门冬,蚌粉,人参,僵蚕
陈曲,肉苁蓉,枸杞,桂,地黄,甘菊
朱砂,天竺黄,人参,丹参,天麻,铅白霜,生龙脑
茯神,远志,天竺黄,琥珀,菖蒲,天麻,白僵蚕
菖蒲,麦门冬,贝母,当归,五味子,丹参,知母
米酒,丹参
辰砂,菖蒲,青龙齿,丹参,紫贝齿,灵磁石,琥珀末
枣仁,麦冬,生地,木通,玄参,黄连,茯苓
远志,覆盆子,菖蒲,柏子仁,枸杞,麦门冬,生地
石灰华,珍珠,麝香等药味加工制成的丸剂,丹参,红花,草果,丁香
茯神,远志,菖蒲,麦门冬,丹参,人参,地黄
寒水石,桂枝,牡蛎,紫石英,大黄,干姜,滑石
茯神,枣仁,远志,独活,细辛,防风,人参
茯苓细粉,白糖等份,米粉
枣仁,粳米,茯苓粉
茯神,远志,辰砂,菖蒲,人参,天南星,真铁粉
茯神,远志,辰砂,菖蒲,人参,天南星,真铁粉
茯神,枣仁,远志,独活,细辛,防风,人参
茯神,龙齿,麦门冬,防风,人参,黄芩,白鲜
茯神,枣仁,远志,独活,细辛,防风,人参
茯神,菖蒲,麦门冬,石斛,丹皮,芍药,生地
寄生,风仙花全草,泽兰,五味子,益母草
枣仁,小麦,甘草
枣仁,小麦,甘草
枣仁,小麦,甘草
桂枝,牡蛎,龙骨,甘草
枣仁,牡蛎,芍药,桂心,龙骨,生姜,甘草
朱砂,21克
珍珠母,磁石,丹皮,麦冬,钩藤,仙茅酒,五味子
枣仁,枣仁,远志,龙眼肉,当归,黄芪,党参
獖猪心,颗块朱砂,灯心
茯神,枣仁,金箔,远志,龙齿,罗参,颗块大朱砂
茯神,远志,山萸,山药,五味子,黄柏,莲须
远志,菖蒲,龟版,人参,五味子,当归,茱萸
远志,菖蒲,琥珀末,茜草,丹参,干地龙,薤白
朱砂,琥珀,麝,白僵蚕,白附子,百草霜,当归
茯神,枣仁,麦门冬,枸杞,黄耆,芍药,秦艽
覆盆子,牡丹,黑附子,黄耆,肉苁蓉,人参,鹿角胶
乌犀角,拣人参,石斛,菟丝子,肉苁蓉,枸杞,防风
甘桑椹,黄精,麦门冬,枸杞,牛膝,地黄,地黄
远志,巴戟,菖蒲,肉苁蓉,枸杞,茴香,牛膝
朱砂,枳壳,芍药,黄芩,人参,槟榔,栀子
朱砂,远志,琥珀,菖蒲,白芍,人参,丹参
茯神,枣仁,远志,朱砂,琥珀,菖蒲,乳香
檀香,朱砂,天竺黄,琥珀,枳壳,山药,枳实
朱砂,天竺黄,琥珀,赤苓,丹参,雄黄,僵蚕
朱砂,天竺黄,珍珠,琥珀,防风,贝母,天麻
