红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,丹参,生地,白芍,孩儿参,赤芍
红花,刘寄奴,姜黄,路通,灵仙,川芎,芥子
虎杖,茜草,蚤休,生鳖甲,全瓜蒌,郁金,白芍
地龙,荆芥,川芎,全蝎,防风,细辛
没药,乳香,紫荆皮,甘草,白芷
桃仁,虫,石苇,瞿麦,桂枝,蜂窠,紫葳
自然铜,没药,乳香,土鳖
黑豆,三七,鸡血藤膏,血琥珀,麒麟竭,骨碎补,川续断
桃仁,红花,栝楼,薤白,当归尾,川芎,牛膝
香油,没药,三七,血竭,乳香,樟脑,东丹
没药,乳香,皂刺,山甲,全蜈蚣,天花粉,知母
丹参,杜仲,芎藭
桃仁,红花,泽兰,白芍药,丹皮,元胡索,熟地黄
红花,三七,血竭,苏木,乳香,生地,赤芍
桃仁,虫,干地黄,杏仁,蛴螬,水蛭,虻虫
地龙,自然铜,没药,丹皮,肉桂,乳香,木鳖子
丹参,泽兰,黑豆,玄胡,楂炭,赤芍,焦艾
桃仁,丹参,没药,苏木,乳香,泽兰叶,蔓荆子
红花,鸡血藤,黄耆,胆草,炼蜜,当归
桃仁,红花,三棱,穿山甲,皂角刺,莪术,赤芍
玄胡,没药,丹皮,乳香,金银花,赤芍,紫花地丁
桃仁,红花,玄胡,桂枝,赤芍,小茴香,香附
丹参,三七,冰片
丹参,三七,冰片
丹参,三七,冰片
桃仁,红花,穿山甲,瓜蒌根,大黄,柴胡,当归
全虫,虫,川山甲,蜈蚣
桃仁,红花,五灵脂,玄胡,丹皮,赤芍,乌药
桃仁,红花,玄胡,丹皮,灵脂,赤芍,乌药
丹参,郁金,乌药,川楝,百合,柴胡,黄芩
桃仁,桂枝,牡丹,茯苓,芍药
桃仁,丹皮,桂枝,茯苓,芍药
桃仁,红花,归尾,泽兰,玄胡,牛膝
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,三棱,莪术,赤芍
桃仁,丹参,赤芍
桃仁,丹参,赤芍
丹参,三七,降香油
黑豆,肉桂,蒲黄,当归,熟干地黄,芍药,干姜
元胡,没药,丹皮,乳香,紫花地丁,红藤,银花
红花,75,酒精
丹参,荆芥,辰砂,石菖蒲,琥珀,豆豉,姜川连
紫苏,肉桂,何首乌,赤芍,香附,乌药,川芎
