珍珠母,磁石,酒曲,赭石,半夏,酒曲,牛膝,薄荷
枣仁,小麦,甘草
朱砂,天竺黄,琥珀,珍珠,防风,钩藤,天麻,丹参
辰砂,郁金,黄芩,丹参,山栀仁,黄连
琥珀,天麻,龙脑,丹参,乌蛇,干蝎,白附子,僵蚕
枣仁,远志,贝母,黄芩,陈皮,瓜蒌,半夏,茯苓
茯神,柏子仁,人参,干姜,炙草,益智,陈皮,桃仁
茯神,枣仁,金箔,远志,辰砂,独活,珍珠,郁金
茯神,枣仁,辰砂,琥珀,人参,乳香
茯神,枣仁,远志,朱砂,琥珀,菖蒲,柏子仁,乳香
枣仁,辰砂,人参
菖蒲,安神膏,五味子,丹参
珍珠母,合欢皮,菖蒲,菟丝子,女贞子,丹参,地黄,五味子
远志,石莲肉,芡实,麦冬,人参,莲须,甘草
茯神,枣仁,远志,琥珀,白芍,黄耆,生地,双钩藤
茯神,远志,朱砂,麦门冬,人参,天麻,莲肉,全蝎
茯神,枣仁,远志,菖蒲,黄耆,炙草,酒地,杭芍
茯神,枣仁,远志,牡蛎,芡实,生地,莲子肉,锁阳
茯神,远志,菖蒲,麦冬,陈皮,杏仁,半夏,桔梗
菖蒲,龙齿
朱砂,地黄,当归,黄连,甘草
枣仁,天竺黄,珍珠,琥珀,人参,丹参,地黄,当归
合欢花,合欢皮,桑椹子,女贞子,夜交藤,丹参,地黄,玄参
朱砂,金箔,琥珀,防风,天麻,地黄,山药,人参
茯神,菖蒲,全蝎,当归,龙胆草,黄连
茯神,枣仁,朱砂,生地,寸冬,白参,当归,白术
茯神,珍珠母,枣仁,朱砂,合欢花,琥珀,龙齿,白芍
朱砂,麦冬,天冬,知母,黄连
茯神,远志,铁粉,辰砂,菖蒲,细辛,麦门冬,山芋
茯神,远志,铁粉,辰砂,菖蒲,细辛,麦门冬,山芋
茯神,枣仁,朱砂,乳香,麝香,代赭石
辰砂,白矾,天南星,半夏
辰砂,白矾,天南星,半夏
远志,菖蒲,黑附子,人参,桂心,牛膝,桔梗,茯苓
枣仁,牡蛎,桂枝,黄芩,大黄,人参,龙骨,柴胡
大龟
茯神,远志,白芍,枸杞,黄耆,熟地,人参,故纸
枣仁,莲肉,百合,夜交藤,淮小麦,甘草
朱砂,大黄,天麻,僵蚕,当归,全蝎,黄土,赤金
朱砂,天竺黄,苍术,钩藤,丹参,麦芽,滑石,陈皮
白糖,粳米,鲜百合,杏仁
大米,芡实,糯米,山药,莲肉
枣仁,朱砂,麦门冬,人参,生龙脑,茯苓,甘草
枣仁,远志,柏子仁,黄耆,人参,五味子,当归,川芎
枣仁,朱砂,远志,柏子仁,五味子,当归,川芎,党参
茯神,菖蒲,柏子仁,麦门冬,枸杞,熟地,元参,当归
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
枣仁,柏子仁,牡蛎,五味子,浮小麦,麻黄根,党参,白术
鹿角霜,柏子仁,菟丝子,鹿角胶,地黄
铅,水银
朱砂,白矾,黄丹,半夏
茯神,远志,菖蒲,麦门冬,丹参,人参,白术,茯苓
枣仁,大米,薏仁,芡实,山药,莲肉,百合,扁豆
檀香,枣仁,天竺黄,紫檀香,北沙参,红花,沉香,肉豆蔻
檀香,枣仁,天竺黄,紫檀香,北沙参,红花,沉香,肉豆蔻
枣仁,石灰华,乳香,木棉花,沉香,诃子,木香,肉豆蔻
枣仁,石灰华,乳香,木棉花,沉香,诃子,木香,肉豆蔻
朱砂,磁石,乳香,代赭石,禹余粮,人中黄,没药,赤石脂
朱砂,胆南星,巴豆,神曲
金箔,腻粉
茯神,远志,天竺黄,辰砂,琥珀,珍珠,防风,天麻
远志,天竺黄,珍珠,琥珀,防风,贝母,犀角,钩藤
枣仁,巴戟,覆盆子,柏子仁,菟丝子,肉苁蓉,枸杞,破故纸
辰砂,琥珀,防风,天麻,白附子,僵蚕,天南星,全蝎
茯神,朱砂,琥珀,犀角,防风,人参,天麻,僵蚕
琥珀,珍珠,马宝,丹参,龙涎香
檀香,赤小豆,熊胆,黄芩,鹤虱,大黄,乳香,三棱
远志,巴戟,覆盆子,菖蒲,细辛,肉苁蓉,菟丝子,枸杞
茯神,丹皮,生地,莹白童便150毫升,莲子心30支,细木通,辰砂染灯心20支,益元散
茯神,郁金,龙齿,黑附子,熟地,人参,泽兰,陈皮
茯神,枣仁,远志,熟地,酒炒白芍,当归,川芎
